sdtname,object-id,st-area(shape),district,timeperiod,total-tender-awarded-value,others-tenders-awarded-value,repair-and-restoration-tenders-awarded-value,max-rain,mean-rain,count,sum-rain,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,mean-sex-ratio,sum-aged-population,sum-young-population,sum-population,schools-count,total-rail-length,rail-count,total-road-length,health-centres-count,stname,dtname,st-area-sh,st-length-,remarks,dist-lgd,state-lgd,subdt-lgd,ac-no,st-length(shape),elevation-mean,slope-mean,stcode11,dtcode11,sub-district-code,urban-hhd,urban-electricity,urban-tele,urban-hhd-pipe,urban-no-sanitation,rural-hhd,total-hhd,avg-electricity,avg-tele,sd-piped-hhds-pct,sd-nosanitation-hhds-pct,total-hhd.1,exposure,flood-hazard,government-response,vulnerability,financial-year,total-tender-awarded-value-fy-cumsum,repair-and-restoration-tenders-awarded-value-fy-cumsum,others-tenders-awarded-value-fy-cumsum,topsis-score,risk-score
Sidhauli,09-154-00808,969518996.31155,Sitapur,2025_04,0.0,0.0,0.0,0.11,0.07,701.0,46.69,0.0,0.0,0.0,0.0,0.87,53146.0,82511.0,803294.0,668,33208.0,5.0,129006.0,82.0,UTTAR PRADESH,Sitapur,0.0,0.0,0.0,183.0,9.0,808.0,152.0,242749.97796881144,129.0,72.74431372467095,9.0,154.0,808.0,5895.352716860564,117907.05433721127,17686.05815058169,1104.1995638679837,371.40722116221554,125955.0,131850.0,10.6,2.0,15.35,16.32,131850.0,2,5,5,5,2025-2026,0.0,0.0,0.0,0.7941156844261524,5
Gola Gokaran Nath,09-153-00799,1703091460.334358,Kheri,2025_04,0.0,0.0,0.0,0.08,0.06,1216.0,77.52,0.0,0.0,0.0,0.0,0.88,46634.0,79458.0,786330.0,680,39853.0,9.0,240150.0,92.0,UTTAR PRADESH,Kheri,0.0,0.0,0.0,159.0,9.0,799.0,139.0,336802.5291291137,156.0,69.36354042377742,9.0,153.0,799.0,5892.957657523778,117859.15315047555,17678.872972571335,1103.7509692542037,371.256332423998,137454.0,143347.0,10.2,2.0,20.85,13.13,143347.0,2,5,5,5,2025-2026,0.0,0.0,0.0,0.7941156844261524,5
Bansdih,09-193-00979,687161443.116386,Ballia,2025_04,0.0,0.0,0.0,0.1,0.07,495.0,34.9,0.0,0.0,0.0,0.0,0.93,67821.0,73404.0,849486.0,628,14905.0,4.0,153391.0,69.0,UTTAR PRADESH,Ballia,0.0,0.0,0.0,126.0,9.0,979.0,362.0,181512.823160116,58.0,69.04483335444337,9.0,193.0,979.0,10669.027630349863,213380.5526069973,32007.082891049595,1998.3088751645296,672.1487407120414,143399.0,154068.0,11.1,2.0,6.98,9.28,154068.0,2,5,5,4,2025-2026,0.0,0.0,0.0,0.7791797245219121,5
Mahmudabad,09-154-00807,1026696377.6876886,Sitapur,2025_04,0.0,0.0,0.0,0.11,0.05,739.0,38.82,0.0,0.0,0.0,0.0,0.88,50484.0,78492.0,762631.0,829,19671.0,3.0,104351.0,78.0,UTTAR PRADESH,Sitapur,0.0,0.0,0.0,183.0,9.0,807.0,151.0,247428.78171714648,119.0,66.6131360348694,9.0,154.0,807.0,6250.315206776495,125006.3041355299,18750.945620329483,1170.6840382292376,393.7698580269192,118222.0,124472.0,10.7,2.0,12.84,16.83,124472.0,1,5,5,5,2025-2026,0.0,0.0,0.0,0.7424007959280483,5
Bhatpar Rani,09-190-00963,447757082.8095866,Deoria,2025_04,0.0,0.0,0.0,0.1,0.07,322.0,21.36,0.0,0.0,0.0,0.0,1.01,42502.0,46838.0,520496.0,409,14723.0,5.0,127087.0,73.0,UTTAR PRADESH,Deoria,0.0,0.0,0.0,137.0,9.0,963.0,340.0,139911.67694591556,67.0,72.22656817631388,9.0,190.0,963.0,5483.575492527174,109671.50985054349,16450.72647758152,1027.0736897503396,345.46525602921196,99546.0,105030.0,11.0,2.0,15.29,11.61,105030.0,1,5,5,5,2025-2026,0.0,0.0,0.0,0.7424007959280483,5
Palia,09-153-00798,2047932222.3807223,Kheri,2025_04,0.0,0.0,0.0,0.08,0.07,1456.0,107.02,0.0,0.0,0.0,0.0,0.9,38012.0,62334.0,596620.0,455,94053.0,28.0,131744.0,58.0,UTTAR PRADESH,Kheri,0.0,0.0,0.0,159.0,9.0,798.0,137.0,351353.9894449288,164.0,67.43924777677246,9.0,153.0,798.0,4390.010190217392,87800.20380434784,13170.030570652176,822.2489086277175,276.5706419836957,84656.0,89046.0,11.0,2.0,21.26,13.19,89046.0,1,5,5,5,2025-2026,0.0,0.0,0.0,0.7424007959280483,5
Sandila,09-155-00813,1828632315.0913875,Hardoi,2025_04,0.0,0.0,0.0,0.05,0.03,1316.0,39.93,0.0,0.0,0.0,0.0,0.86,80450.0,118542.0,1208790.0,1373,70379.0,19.0,202653.0,144.0,UTTAR PRADESH,Hardoi,0.0,0.0,0.0,150.0,9.0,813.0,160.0,295837.97555953887,130.0,70.57222290738812,9.0,155.0,813.0,14221.849312160328,284436.98624320654,42665.54793648099,2663.7523761676293,895.9765066661007,223622.0,237844.0,10.5,2.0,16.11,15.25,237844.0,3,4,5,5,2025-2026,0.0,0.0,0.0,0.7356564061351135,5
Nanpara,09-180-00919,2864596268.542749,Bahraich,2025_04,0.0,0.0,0.0,0.07,0.04,2047.0,91.75,0.0,0.0,0.0,0.0,0.88,103588.0,192992.0,1641855.0,1294,118089.0,32.0,189821.0,127.0,UTTAR PRADESH,Bahraich,0.0,0.0,0.0,125.0,9.0,919.0,282.0,402837.52077043545,135.0,68.35812374770802,9.0,180.0,919.0,14675.783565355385,293515.67130710767,44027.350696066154,2748.7742617910635,924.5743646173892,162898.0,177574.0,11.7,2.0,23.25,18.14,177574.0,3,4,5,5,2025-2026,0.0,0.0,0.0,0.7356564061351135,5
Puranpur,09-151-00792,2274652353.3815627,Pilibhit,2025_04,0.0,0.0,0.0,0.07,0.06,1613.0,95.03,0.0,0.0,0.0,0.0,0.88,46456.0,76335.0,804923.0,620,46241.0,9.0,177188.0,64.0,UTTAR PRADESH,Pilibhit,0.0,0.0,0.0,173.0,9.0,792.0,129.0,309452.57038532296,181.0,64.37441002943208,9.0,151.0,792.0,6556.147288446841,131122.94576893683,19668.441865340523,1227.9663871260934,413.037279172151,88858.0,95414.0,11.0,2.0,14.95,7.37,95414.0,1,5,5,4,2025-2026,0.0,0.0,0.0,0.7298964794754677,5
Meerut,09-138-00734,1234734518.821442,Meerut,2025_04,0.0,0.0,0.0,0.09,0.05,874.0,45.68,0.0,0.0,0.0,0.0,0.88,150608.0,234040.0,2505961.0,1526,47107.0,13.0,324526.0,178.0,UTTAR PRADESH,Meerut,0.0,0.0,0.0,169.0,9.0,734.0,49.0,236585.30027391372,223.0,68.11901892104639,9.0,138.0,734.0,149569.09880264947,2991381.9760529893,448707.2964079484,28014.292205736245,9422.853224566918,127185.0,276754.0,16.1,3.0,27.14,4.77,276754.0,4,5,5,1,2025-2026,0.0,0.0,0.0,0.7188192503707278,5
Lakhimpur,09-153-00801,1899611965.9042351,Kheri,2025_04,0.0,0.0,0.0,0.08,0.05,1358.0,68.0,0.0,0.0,0.0,0.0,0.88,93622.0,159359.0,1573034.0,1098,48448.0,15.0,216848.0,114.0,UTTAR PRADESH,Kheri,0.0,0.0,0.0,159.0,9.0,801.0,140.0,334922.2809640437,141.0,66.99649102854546,9.0,153.0,801.0,24058.814989172897,481176.29978345794,72176.44496751869,4506.216047472083,1515.7053443178925,250695.0,274754.0,11.0,2.0,13.43,11.34,274754.0,3,4,5,4,2025-2026,0.0,0.0,0.0,0.716693671019058,5
Etah,09-201-01008,1590940232.100049,Etah,2025_04,0.0,0.0,0.0,0.05,0.03,1142.0,32.73,0.0,0.0,0.0,0.0,0.87,79268.0,120105.0,1221170.0,2014,27813.0,4.0,244947.0,143.0,UTTAR PRADESH,Etah,0.0,0.0,0.0,138.0,9.0,1008.0,105.0,269990.0836250088,168.0,71.2468967383051,9.0,201.0,1008.0,25887.98932614534,517759.7865229068,77663.96797843602,4848.820400787022,1630.9433275471563,196611.0,222499.0,11.8,2.0,9.93,8.71,222499.0,3,4,5,4,2025-2026,0.0,0.0,0.0,0.716693671019058,5
