,object-id,district
0,09-146,Agra
1,09-143,Aligarh
2,09-178,Ambedkar Nagar
3,09-706,Amethi
4,09-137,Amroha
5,09-162,Auraiya
6,09-177,Ayodhya
7,09-191,Azamgarh
8,09-139,Baghpat
9,09-180,Bahraich
10,09-193,Ballia
11,09-182,Balrampur
12,09-170,Banda
13,09-176,Barabanki
14,09-150,Bareilly
15,09-185,Basti
16,09-198,Bhadohi
17,09-134,Bijnor
18,09-149,Budaun
19,09-142,Bulandshahr
20,09-196,Chandauli
21,09-171,Chitrakoot
22,09-190,Deoria
23,09-201,Etah
24,09-161,Etawah
25,09-159,Farrukhabad
26,09-172,Fatehpur
27,09-147,Firozabad
28,09-141,Gautam Buddha Nagar
29,09-140,Ghaziabad
30,09-195,Ghazipur
31,09-183,Gonda
32,09-188,Gorakhpur
33,09-168,Hamirpur
34,09-705,Hapur
35,09-155,Hardoi
36,09-144,Hathras
37,09-165,Jalaun
38,09-194,Jaunpur
39,09-166,Jhansi
40,09-160,Kannauj
41,09-163,Kanpur Dehat
42,09-164,Kanpur Nagar
43,09-202,Kasganj
44,09-174,Kaushambi
45,09-153,Kheri
46,09-189,Kushi Nagar
47,09-167,Lalitpur
48,09-157,Lucknow
49,09-187,Maharajganj
50,09-169,Mahoba
51,09-148,Mainpuri
52,09-145,Mathura
53,09-192,Mau
54,09-138,Meerut
55,09-199,Mirzapur
56,09-135,Moradabad
57,09-133,Muzaffarnagar
58,09-151,Pilibhit
59,09-173,Pratapgarh
60,09-175,Prayagraj
61,09-158,Rae Bareli
62,09-136,Rampur
63,09-132,Saharanpur
64,09-754,Sambhal
65,09-186,Sant Kabeer Nagar
66,09-152,Shahjahanpur
67,09-704,Shamli
68,09-181,Shravasti
69,09-184,Siddharth Nagar
70,09-154,Sitapur
71,09-200,Sonbhadra
72,09-179,Sultanpur
73,09-156,Unnao
74,09-197,Varanasi
